r,phi,phi',Phi,s
8.82,-3.4108,-0.499275,-0.386712,0
8.84,-3.42078,-0.499287,-0.386967,0
8.86,-3.43077,-0.4993,-0.38722,0
8.88,-3.44076,-0.499313,-0.387473,0
8.9,-3.45074,-0.499325,-0.387724,0
8.92,-3.46073,-0.499337,-0.387974,0
8.94,-3.47072,-0.499349,-0.388223,0
8.96,-3.4807,-0.49936,-0.388471,0
8.98,-3.49069,-0.499372,-0.388718,0
9,-3.50068,-0.499383,-0.388964,0
9.02,-3.51067,-0.499394,-0.389209,0
9.04,-3.52065,-0.499405,-0.389453,0
9.06,-3.53064,-0.499415,-0.389696,0
9.08,-3.54063,-0.499426,-0.389937,0
9.1,-3.55062,-0.499436,-0.390178,0
9.12,-3.56061,-0.499446,-0.390418,0
9.14,-3.5706,-0.499456,-0.390656,0
9.16,-3.58059,-0.499466,-0.390894,0
9.18,-3.59058,-0.499475,-0.39113,0
9.2,-3.60057,-0.499485,-0.391366,0
9.22,-3.61056,-0.499494,-0.3916,0
9.24,-3.62055,-0.499503,-0.391834,0
9.26,-3.63054,-0.499512,-0.392066,0
9.28,-3.64053,-0.499521,-0.392298,0
9.3,-3.65052,-0.499529,-0.392529,0
9.32,-3.66051,-0.499538,-0.392758,0
9.34,-3.6705,-0.499546,-0.392987,0
9.36,-3.68049,-0.499554,-0.393215,0
9.38,-3.69048,-0.499562,-0.393441,0
9.4,-3.70047,-0.49957,-0.393667,0
9.42,-3.71046,-0.499578,-0.393892,0
9.44,-3.72045,-0.499585,-0.394116,0
9.46,-3.73045,-0.499593,-0.394339,0
9.48,-3.74044,-0.4996,-0.394561,0
9.5,-3.75043,-0.499607,-0.394782,0
9.52,-3.76042,-0.499614,-0.395002,0
9.54,-3.77041,-0.499621,-0.395222,0
9.56,-3.78041,-0.499628,-0.39544,0
9.58,-3.7904,-0.499634,-0.395658,0
9.6,-3.80039,-0.499641,-0.395874,0
9.62,-3.81039,-0.499647,-0.39609,0
9.64,-3.82038,-0.499654,-0.396305,0
9.66,-3.83037,-0.49966,-0.396519,0
9.68,-3.84037,-0.499666,-0.396732,0
9.7,-3.85036,-0.499672,-0.396944,0
9.72,-3.86035,-0.499678,-0.397156,0
9.74,-3.87035,-0.499684,-0.397366,0
9.76,-3.88034,-0.499689,-0.397576,0
9.78,-3.89033,-0.499695,-0.397785,0
9.8,-3.90033,-0.499701,-0.397993,0
