t,y,abs_err,rel_err,h
0.445312,0.90708,0.00165344,0.0018195,0.0078125
0.453125,0.903925,0.00168081,0.00185601,0.0078125
0.460938,0.900725,0.00170807,0.00189274,0.0078125
0.46875,0.897481,0.00173521,0.00192969,0.0078125
0.476562,0.894194,0.00176222,0.00196685,0.0078125
0.484375,0.890865,0.0017891,0.00200425,0.0078125
0.492188,0.887494,0.00181585,0.00204186,0.0078125
0.5,0.884081,0.00184247,0.00207972,0.0078125
0.507812,0.880628,0.00186895,0.0021178,0.0078125
0.515625,0.877134,0.0018953,0.00215613,0.0078125
0.523438,0.873601,0.00192151,0.0021947,0.0078125
0.53125,0.870028,0.00194757,0.00223351,0.0078125
0.539062,0.866417,0.00197349,0.00227258,0.0078125
0.546875,0.862769,0.00199926,0.0023119,0.0078125
0.554688,0.859082,0.00202488,0.00235148,0.0078125
0.5625,0.85536,0.00205034,0.00239132,0.0078125
0.570312,0.851601,0.00207565,0.00243142,0.0078125
0.578125,0.847806,0.0021008,0.0024718,0.0078125
0.585938,0.843977,0.00212579,0.00251244,0.0078125
0.59375,0.840114,0.00215061,0.00255337,0.0078125
0.601562,0.836217,0.00217527,0.00259457,0.0078125
0.609375,0.832287,0.00219975,0.00263606,0.0078125
0.617188,0.828324,0.00222407,0.00267783,0.0078125
0.625,0.82433,0.00224821,0.0027199,0.0078125
0.632812,0.820305,0.00227217,0.00276226,0.0078125
0.640625,0.81625,0.00229595,0.00280492,0.0078125
0.648438,0.812165,0.00231955,0.00284788,0.0078125
0.65625,0.80805,0.00234297,0.00289115,0.0078125
0.664062,0.803907,0.00236619,0.00293473,0.0078125
0.671875,0.799737,0.00238923,0.00297862,0.0078125
0.679688,0.795539,0.00241207,0.00302283,0.0078125
0.6875,0.791315,0.00243471,0.00306736,0.0078125
0.695312,0.787064,0.00245716,0.00311221,0.0078125
0.703125,0.782789,0.0024794,0.0031574,0.0078125
0.710938,0.778489,0.00250144,0.00320291,0.0078125
0.71875,0.774165,0.00252328,0.00324876,0.0078125
0.726562,0.769818,0.0025449,0.00329495,0.0078125
0.734375,0.765448,0.00256631,0.00334149,0.0078125
0.742188,0.761057,0.00258751,0.00338837,0.0078125
0.75,0.756644,0.00260849,0.0034356,0.0078125
0.757812,0.75221,0.00262925,0.00348319,0.0078125
0.765625,0.747757,0.00264978,0.00353113,0.0078125
0.773438,0.743284,0.0026701,0.00357943,0.0078125
0.78125,0.738793,0.00269018,0.00362811,0.0078125
0.789062,0.734284,0.00271003,0.00367715,0.0078125
0.796875,0.729757,0.00272966,0.00372656,0.0078125
0.804688,0.725214,0.00274904,0.00377635,0.0078125
0.8125,0.720655,0.00276819,0.00382652,0.0078125
0.820312,0.71608,0.0027871,0.00387707,0.0078125
0.828125,0.711491,0.00280577,0.00392802,0.0078125
0.835938,0.706888,0.00282419,0.00397935,0.0078125
0.84375,0.702272,0.00284237,0.00403108,0.0078125
0.851562,0.697642,0.0028603,0.0040832,0.0078125
0.859375,0.693001,0.00287797,0.00413573,0.0078125
0.867188,0.688348,0.00289539,0.00418867,0.0078125
0.875,0.683685,0.00291256,0.00424202,0.0078125
0.882812,0.679011,0.00292946,0.00429577,0.0078125
0.890625,0.674328,0.00294611,0.00434995,0.0078125
0.898438,0.669636,0.00296249,0.00440455,0.0078125
0.90625,0.664936,0.00297861,0.00445957,0.0078125
0.914062,0.660228,0.00299446,0.00451502,0.0078125
0.921875,0.655513,0.00301005,0.0045709,0.0078125
0.929688,0.650792,0.00302536,0.00462722,0.0078125
0.9375,0.646065,0.0030404,0.00468398,0.0078125
0.945312,0.641334,0.00305516,0.00474118,0.0078125
0.953125,0.636597,0.00306965,0.00479883,0.0078125
0.960938,0.631857,0.00308386,0.00485692,0.0078125
0.96875,0.627113,0.00309779,0.00491548,0.0078125
0.976562,0.622367,0.00311143,0.00497449,0.0078125
0.984375,0.617619,0.0031248,0.00503396,0.0078125
0.992188,0.612869,0.00313787,0.00509389,0.0078125
1,0.608118,0.00315066,0.0051543,0.0078125
1.00781,0.603367,0.00316316,0.00521518,0.0078125
1.01562,0.598617,0.00317537,0.00527653,0.0078125
1.02344,0.593867,0.00318729,0.00533836,0.0078125
1.03125,0.589119,0.00319892,0.00540068,0.0078125
