t,x,y,method
+3.738495e+01,+1.110074e+00,-3.215807e-01,RK2
+3.769911e+01,+9.542667e-01,-6.544514e-01,RK2
+3.801327e+01,+7.015736e-01,-9.219473e-01,RK2
+3.832743e+01,+3.773140e-01,-1.096857e+00,RK2
+3.864159e+01,+1.410660e-02,-1.161266e+00,RK2
+3.895575e+01,-3.514120e-01,-1.108391e+00,RK2
+3.926991e+01,-6.822819e-01,-9.432951e-01,RK2
+3.958407e+01,-9.449575e-01,-6.824002e-01,RK2
+3.989823e+01,-1.112708e+00,-3.518579e-01,RK2
+4.021239e+01,-1.168338e+00,+1.507311e-02,RK2
+4.052655e+01,-1.105947e+00,+3.813734e-01,RK2
+4.084070e+01,-9.315588e-01,+7.099969e-01,RK2
+4.115486e+01,-6.625361e-01,+9.676177e-01,RK2
+4.146902e+01,-3.258552e-01,+1.128010e+00,RK2
+4.178318e+01,+4.459977e-02,+1.174715e+00,RK2
+4.209734e+01,+4.114465e-01,+1.102734e+00,RK2
+4.241150e+01,+7.375764e-01,+9.190562e-01,RK2
+4.272566e+01,+9.899085e-01,+6.419862e-01,RK2
+4.303982e+01,+1.142744e+00,+2.993165e-01,RK2
+4.335398e+01,+1.180385e+00,-7.445790e-02,RK2
+4.366814e+01,+1.098744e+00,-4.416125e-01,RK2
+4.398230e+01,+9.057864e-01,-7.650004e-01,RK2
+4.429646e+01,+6.207557e-01,-1.011810e+00,RK2
+4.461062e+01,+2.722530e-01,-1.156896e+00,RK2
+4.492477e+01,-1.046316e-01,-1.185336e+00,RK2
+4.523893e+01,-4.718525e-01,-1.093971e+00,RK2
+4.555309e+01,-7.922486e-01,-8.917488e-01,RK2
+4.586725e+01,-1.033304e+00,-5.988505e-01,RK2
+4.618141e+01,-1.170447e+00,-2.446765e-01,RK2
+4.649557e+01,-1.189555e+00,+1.351046e-01,RK2
+4.680973e+01,-1.088408e+00,+5.021471e-01,RK2
+4.712389e+01,-8.769435e-01,+8.193008e-01,RK2
+4.743805e+01,-5.762771e-01,+1.054370e+00,RK2
+4.775221e+01,-2.165989e-01,+1.183382e+00,RK2
+4.806637e+01,+1.658601e-01,+1.193031e+00,RK2
+4.838053e+01,+5.324768e-01,+1.082050e+00,RK2
+4.869469e+01,+8.461363e-01,+8.613708e-01,RK2
+4.900885e+01,+1.074989e+00,+5.530423e-01,RK2
+4.932300e+01,+1.195684e+00,+1.880331e-01,RK2
+4.963716e+01,+1.195751e+00,-1.968810e-01,RK2
+4.995132e+01,+1.074891e+00,-5.628217e-01,RK2
+5.026548e+01,+8.450319e-01,-8.727346e-01,RK2
+5.057964e+01,+5.291536e-01,-1.095141e+00,RK2
+5.089380e+01,+1.589921e-01,-1.207337e+00,RK2
+5.120796e+01,-2.281500e-01,-1.197706e+00,RK2
+5.152212e+01,-5.931617e-01,-1.066926e+00,RK2
+5.183628e+01,-8.990751e-01,-8.279283e-01,RK2
+5.215044e+01,-1.114809e+00,-5.046189e-01,RK2
+5.246460e+01,-1.218326e+00,-1.294894e-01,RK2
+5.277876e+01,-1.198884e+00,+2.596490e-01,RK2
