t,x,delta_y,u,v,theta
0.329,0.256655,7.75768e-14,0.780107,0.311938,0.687775
0.33,0.257435,7.77711e-14,0.780107,0.310938,0.687775
0.331,0.258215,7.79377e-14,0.780107,0.309938,0.687775
0.332,0.258995,7.81042e-14,0.780107,0.308938,0.687775
0.333,0.259776,7.82707e-14,0.780107,0.307938,0.687775
0.334,0.260556,7.84373e-14,0.780107,0.306938,0.687775
0.335,0.261336,7.86315e-14,0.780107,0.305938,0.687775
0.336,0.262116,7.87981e-14,0.780107,0.304938,0.687775
0.337,0.262896,7.89924e-14,0.780107,0.303938,0.687775
0.338,0.263676,7.91589e-14,0.780107,0.302938,0.687775
0.339,0.264456,7.93532e-14,0.780107,0.301938,0.687775
0.34,0.265236,7.95197e-14,0.780107,0.300938,0.687775
0.341,0.266016,7.96863e-14,0.780107,0.299938,0.687775
0.342,0.266797,7.98805e-14,0.780107,0.298938,0.687775
0.343,0.267577,8.00471e-14,0.780107,0.297938,0.687775
0.344,0.268357,8.02414e-14,0.780107,0.296938,0.687775
0.345,0.269137,8.04079e-14,0.780107,0.295938,0.687775
0.346,0.269917,8.06022e-14,0.780107,0.294938,0.687775
0.347,0.270697,8.07687e-14,0.780107,0.293938,0.687775
0.348,0.271477,8.09075e-14,0.780107,0.292938,0.687775
0.349,0.272257,8.1074e-14,0.780107,0.291938,0.687775
0.35,0.273037,8.12128e-14,0.780107,0.290938,0.687775
0.351,0.273817,8.13793e-14,0.780107,0.289938,0.687775
0.352,0.274598,8.15181e-14,0.780107,0.288938,0.687775
0.353,0.275378,8.17124e-14,0.780107,0.287938,0.687775
0.354,0.276158,8.18789e-14,0.780107,0.286938,0.687775
0.355,0.276938,8.20177e-14,0.780107,0.285938,0.687775
0.356,0.277718,8.21843e-14,0.780107,0.284938,0.687775
0.357,0.278498,8.23508e-14,0.780107,0.283938,0.687775
0.358,0.279278,8.25173e-14,0.780107,0.282938,0.687775
0.359,0.280058,8.26561e-14,0.780107,0.281938,0.687775
0.36,0.280838,8.28226e-14,0.780107,0.280938,0.687775
0.361,0.281619,8.30169e-14,0.780107,0.279938,0.687775
0.362,0.282399,8.31835e-14,0.780107,0.278938,0.687775
0.363,0.283179,8.335e-14,0.780107,0.277938,0.687775
0.364,0.283959,8.34888e-14,0.780107,0.276938,0.687775
0.365,0.284739,8.36553e-14,0.780107,0.275938,0.687775
0.366,0.285519,8.38218e-14,0.780107,0.274938,0.687775
0.367,0.286299,8.40161e-14,0.780107,0.273938,0.687775
0.368,0.287079,8.41271e-14,0.780107,0.272938,0.687775
0.369,0.287859,8.43492e-14,0.780107,0.271938,0.687775
0.37,0.28864,8.45157e-14,0.780107,0.270938,0.687775
0.371,0.28942,8.46823e-14,0.780107,0.269938,0.687775
0.372,0.2902,8.48488e-14,0.780107,0.268938,0.687775
0.373,0.29098,8.50153e-14,0.780107,0.267938,0.687775
0.374,0.29176,8.51819e-14,0.780107,0.266938,0.687775
0.375,0.29254,8.53206e-14,0.780107,0.265938,0.687775
0.376,0.29332,8.54872e-14,0.780107,0.264938,0.687775
0.377,0.2941,8.5626e-14,0.780107,0.263938,0.687775
0.378,0.29488,8.57647e-14,0.780107,0.262938,0.687775
0.379,0.29566,8.59313e-14,0.780107,0.261938,0.687775
0.38,0.296441,8.607e-14,0.780107,0.260938,0.687775
0.381,0.297221,8.62366e-14,0.780107,0.259938,0.687775
0.382,0.298001,8.63754e-14,0.780107,0.258938,0.687775
0.383,0.298781,8.65141e-14,0.780107,0.257938,0.687775
0.384,0.299561,8.66807e-14,0.780107,0.256938,0.687775
0.385,0.300341,8.68472e-14,0.780107,0.255938,0.687775
