E,Res
1.131,-0.0329496
1.132,-0.0327357
1.133,-0.0325229
1.134,-0.0323111
1.135,-0.0321004
1.136,-0.0318906
1.137,-0.0316819
1.138,-0.0314742
1.139,-0.0312675
1.14,-0.0310619
1.141,-0.0308572
1.142,-0.0306535
1.143,-0.0304509
1.144,-0.0302492
1.145,-0.0300485
1.146,-0.0298488
1.147,-0.0296502
1.148,-0.0294524
1.149,-0.0292557
1.15,-0.02906
1.151,-0.0288652
1.152,-0.0286714
1.153,-0.0284786
1.154,-0.0282867
1.155,-0.0280958
1.156,-0.0279058
1.157,-0.0277168
1.158,-0.0275288
1.159,-0.0273417
1.16,-0.0271556
1.161,-0.0269704
1.162,-0.0267861
1.163,-0.0266028
1.164,-0.0264204
1.165,-0.0262389
1.166,-0.0260584
1.167,-0.0258788
1.168,-0.0257001
1.169,-0.0255223
1.17,-0.0253455
1.171,-0.0251695
1.172,-0.0249945
1.173,-0.0248203
1.174,-0.0246471
1.175,-0.0244748
1.176,-0.0243033
1.177,-0.0241328
1.178,-0.0239631
1.179,-0.0237943
1.18,-0.0236265
1.181,-0.0234594
1.182,-0.0232933
1.183,-0.023128
1.184,-0.0229636
1.185,-0.0228001
1.186,-0.0226374
1.187,-0.0224756
1.188,-0.0223147
1.189,-0.0221546
1.19,-0.0219953
1.191,-0.021837
1.192,-0.0216794
1.193,-0.0215227
1.194,-0.0213668
1.195,-0.0212118
1.196,-0.0210576
1.197,-0.0209042
1.198,-0.0207516
1.199,-0.0205999
1.2,-0.020449
1.201,-0.0202989
1.202,-0.0201496
1.203,-0.0200011
1.204,-0.0198534
1.205,-0.0197066
1.206,-0.0195605
1.207,-0.0194152
1.208,-0.0192708
1.209,-0.0191271
1.21,-0.0189842
1.211,-0.0188421
1.212,-0.0187007
1.213,-0.0185602
1.214,-0.0184204
1.215,-0.0182814
1.216,-0.0181432
1.217,-0.0180057
1.218,-0.017869
1.219,-0.017733
1.22,-0.0175979
1.221,-0.0174634
1.222,-0.0173297
1.223,-0.0171968
1.224,-0.0170646
1.225,-0.0169332
1.226,-0.0168025
1.227,-0.0166725
1.228,-0.0165433
1.229,-0.0164147
1.23,-0.016287
1.231,-0.0161599
1.232,-0.0160336
1.233,-0.0159079
1.234,-0.015783
1.235,-0.0156588
1.236,-0.0155354
1.237,-0.0154126
1.238,-0.0152905
1.239,-0.0151691
1.24,-0.0150485
1.241,-0.0149285
1.242,-0.0148092
1.243,-0.0146906
1.244,-0.0145727
1.245,-0.0144554
1.246,-0.0143389
1.247,-0.014223
1.248,-0.0141078
1.249,-0.0139933
1.25,-0.0138794
1.251,-0.0137662
1.252,-0.0136537
1.253,-0.0135418
1.254,-0.0134306
1.255,-0.01332
1.256,-0.0132101
1.257,-0.0131008
1.258,-0.0129922
1.259,-0.0128842
1.26,-0.0127769
1.261,-0.0126702
1.262,-0.0125641
1.263,-0.0124587
1.264,-0.0123539
1.265,-0.0122497
1.266,-0.0121462
1.267,-0.0120432
1.268,-0.0119409
1.269,-0.0118392
1.27,-0.0117381
1.271,-0.0116376
1.272,-0.0115378
1.273,-0.0114385
1.274,-0.0113398
1.275,-0.0112417
1.276,-0.0111443
1.277,-0.0110474
1.278,-0.0109511
1.279,-0.0108554
1.28,-0.0107603
1.281,-0.0106657
1.282,-0.0105718
1.283,-0.0104784
1.284,-0.0103856
1.285,-0.0102934
1.286,-0.0102017
1.287,-0.0101106
1.288,-0.0100201
1.289,-0.00993009
1.29,-0.00984068
1.291,-0.00975183
1.292,-0.00966352
1.293,-0.00957577
1.294,-0.00948857
1.295,-0.00940191
1.296,-0.00931579
1.297,-0.00923022
1.298,-0.00914519
1.299,-0.00906069
1.3,-0.00897672
1.301,-0.00889329
1.302,-0.00881038
1.303,-0.008728
1.304,-0.00864614
1.305,-0.0085648
1.306,-0.00848398
1.307,-0.00840368
1.308,-0.00832389
1.309,-0.00824461
1.31,-0.00816584
1.311,-0.00808757
1.312,-0.00800981
1.313,-0.00793255
1.314,-0.00785579
1.315,-0.00777952
1.316,-0.00770375
1.317,-0.00762847
1.318,-0.00755368
1.319,-0.00747937
1.32,-0.00740555
1.321,-0.00733221
1.322,-0.00725936
1.323,-0.00718697
1.324,-0.00711507
1.325,-0.00704363
1.326,-0.00697267
1.327,-0.00690217
1.328,-0.00683214
1.329,-0.00676258
1.33,-0.00669347
1.331,-0.00662482
1.332,-0.00655663
1.333,-0.00648889
1.334,-0.00642161
1.335,-0.00635477
1.336,-0.00628839
1.337,-0.00622244
1.338,-0.00615694
1.339,-0.00609188
1.34,-0.00602726
1.341,-0.00596308
1.342,-0.00589933
1.343,-0.00583601
1.344,-0.00577312
1.345,-0.00571066
1.346,-0.00564862
1.347,-0.00558701
1.348,-0.00552581
1.349,-0.00546504
1.35,-0.00540468
1.351,-0.00534474
1.352,-0.00528521
1.353,-0.00522609
1.354,-0.00516738
1.355,-0.00510907
1.356,-0.00505117
1.357,-0.00499367
1.358,-0.00493657
1.359,-0.00487987
1.36,-0.00482356
1.361,-0.00476765
1.362,-0.00471213
1.363,-0.00465699
1.364,-0.00460225
1.365,-0.00454789
1.366,-0.00449391
1.367,-0.00444032
1.368,-0.0043871
1.369,-0.00433427
1.37,-0.0042818
1.371,-0.00422971
1.372,-0.00417799
1.373,-0.00412665
1.374,-0.00407566
1.375,-0.00402505
1.376,-0.0039748
1.377,-0.00392491
1.378,-0.00387537
1.379,-0.0038262
1.38,-0.00377738
1.381,-0.00372892
1.382,-0.00368081
1.383,-0.00363305
1.384,-0.00358563
1.385,-0.00353857
1.386,-0.00349184
1.387,-0.00344546
1.388,-0.00339942
1.389,-0.00335372
1.39,-0.00330836
1.391,-0.00326333
1.392,-0.00321864
1.393,-0.00317427
1.394,-0.00313024
1.395,-0.00308653
1.396,-0.00304315
1.397,-0.0030001
1.398,-0.00295737
