t,f,df,ddf
6.39,147.404,5.30372,-18.2797
6.4,147.456,5.12002,-18.3397
6.41,147.506,4.93573,-18.3997
6.42,147.555,4.75083,-18.4597
6.43,147.601,4.56534,-18.5197
6.44,147.646,4.37924,-18.5796
6.45,147.689,4.19254,-18.6396
6.46,147.73,4.00525,-18.6996
6.47,147.769,3.81735,-18.7596
6.48,147.806,3.62885,-18.8196
6.49,147.842,3.43976,-18.8796
6.5,147.875,3.25006,-18.9396
6.51,147.907,3.05977,-18.9996
6.52,147.936,2.86887,-19.0596
6.53,147.964,2.67737,-19.1196
6.54,147.99,2.48528,-19.1796
6.55,148.014,2.29258,-19.2395
6.56,148.036,2.09929,-19.2995
6.57,148.056,1.90539,-19.3595
6.58,148.074,1.7109,-19.4195
6.59,148.09,1.5158,-19.4795
6.6,148.104,1.32011,-19.5395
6.61,148.116,1.12381,-19.5995
6.62,148.127,0.926918,-19.6595
6.63,148.135,0.729424,-19.7195
6.64,148.141,0.531329,-19.7795
6.65,148.145,0.332635,-19.8394
6.66,148.148,0.133341,-19.8994
6.67,148.148,-0.0665533,-19.9594
6.68,148.146,-0.267047,-20.0194
6.69,148.143,-0.468141,-20.0794
6.7,148.137,-0.669835,-20.1394
6.71,148.129,-0.872128,-20.1994
6.72,148.12,-1.07502,-20.2593
6.73,148.108,-1.27852,-20.3193
6.74,148.094,-1.48261,-20.3793
6.75,148.078,-1.6873,-20.4393
6.76,148.06,-1.89259,-20.4993
6.77,148.04,-2.09849,-20.5593
6.78,148.018,-2.30498,-20.6193
6.79,147.994,-2.51207,-20.6792
6.8,147.968,-2.71976,-20.7392
6.81,147.94,-2.92806,-20.7992
6.82,147.91,-3.13695,-20.8592
6.83,147.877,-3.34644,-20.9192
6.84,147.843,-3.55653,-20.9792
6.85,147.806,-3.76722,-21.0391
6.86,147.767,-3.97851,-21.0991
6.87,147.726,-4.1904,-21.1591
6.88,147.683,-4.4029,-21.2191
6.89,147.638,-4.61599,-21.2791
6.9,147.591,-4.82968,-21.3391
6.91,147.542,-5.04397,-21.399
6.92,147.49,-5.25886,-21.459
6.93,147.437,-5.47435,-21.519
6.94,147.381,-5.69044,-21.579
6.95,147.323,-5.90713,-21.639
6.96,147.263,-6.12442,-21.6989
6.97,147.2,-6.3423,-21.7589
6.98,147.136,-6.56079,-21.8189
6.99,147.069,-6.77988,-21.8789
7,147,-6.99957,-21.9389
7.01,146.929,-7.21986,-21.9988
7.02,146.856,-7.44075,-22.0588
7.03,146.78,-7.66223,-22.1188
7.04,146.703,-7.88432,-22.1788
7.05,146.623,-8.10701,-22.2387
7.06,146.54,-8.3303,-22.2987
7.07,146.456,-8.55418,-22.3587
7.08,146.369,-8.77867,-22.4187
7.09,146.28,-9.00376,-22.4786
7.1,146.189,-9.22944,-22.5386
7.11,146.096,-9.45573,-22.5986
7.12,146,-9.68261,-22.6586
7.13,145.902,-9.9101,-22.7185
7.14,145.802,-10.1382,-22.7785
7.15,145.699,-10.3669,-22.8385
7.16,145.595,-10.5962,-22.8984
7.17,145.488,-10.826,-22.9584
7.18,145.378,-11.0565,-23.0184
7.19,145.266,-11.2876,-23.0784
7.2,145.152,-11.5193,-23.1383
7.21,145.036,-11.7516,-23.1983
7.22,144.917,-11.9845,-23.2583
7.23,144.796,-12.2179,-23.3182
7.24,144.673,-12.452,-23.3782
7.25,144.547,-12.6867,-23.4382
7.26,144.419,-12.922,-23.4981
7.27,144.289,-13.1579,-23.5581
7.28,144.156,-13.3943,-23.6181
7.29,144.021,-13.6314,-23.678
7.3,143.883,-13.8691,-23.738
7.31,143.744,-14.1074,-23.798
7.32,143.601,-14.3463,-23.8579
7.33,143.457,-14.5857,-23.9179
7.34,143.31,-14.8258,-23.9779
7.35,143.16,-15.0665,-24.0378
7.36,143.008,-15.3078,-24.0978
7.37,142.854,-15.5496,-24.1577
7.38,142.697,-15.7921,-24.2177
7.39,142.538,-16.0352,-24.2777
7.4,142.377,-16.2789,-24.3376
7.41,142.213,-16.5232,-24.3976
7.42,142.046,-16.768,-24.4575
7.43,141.877,-17.0135,-24.5175
7.44,141.706,-17.2596,-24.5774
7.45,141.532,-17.5063,-24.6374
7.46,141.356,-17.7535,-24.6974
7.47,141.177,-18.0014,-24.7573
7.48,140.996,-18.2499,-24.8173
7.49,140.812,-18.4989,-24.8772
7.5,140.626,-18.7486,-24.9372
7.51,140.437,-18.9989,-24.9971
7.52,140.246,-19.2498,-25.0571
7.53,140.052,-19.5012,-25.117
7.54,139.856,-19.7533,-25.177
7.55,139.657,-20.006,-25.2369
7.56,139.456,-20.2592,-25.2969
7.57,139.252,-20.5131,-25.3568
7.58,139.045,-20.7676,-25.4168
7.59,138.836,-21.0226,-25.4767
7.6,138.625,-21.2783,-25.5367
7.61,138.411,-21.5346,-25.5966
