t,th1RK,th2RK,w1RK,w2RK,th1PV,th2PV,w1PV,w2PV
18.3,0.07061,-0.59808,-1.311,-0.760263,-0.018728,-0.626391,-1.41544,-0.367179
18.4,-0.0641806,-0.64328,-1.36169,-0.139132,-0.157939,-0.631613,-1.36878,0.262729
18.5,-0.196963,-0.625866,-1.27073,0.483164,-0.285241,-0.575509,-1.17725,0.859356
18.6,-0.31382,-0.548365,-1.04579,1.05402,-0.387117,-0.464013,-0.860272,1.37056
18.7,-0.402363,-0.418511,-0.709059,1.52177,-0.452584,-0.308207,-0.449084,1.74557
18.8,-0.452948,-0.249099,-0.292538,1.83783,-0.474129,-0.123866,0.0182005,1.94126
18.9,-0.45946,-0.057299,0.165765,1.96492,-0.448261,0.0698578,0.499155,1.93321
19,-0.419794,0.137007,0.62373,1.88774,-0.375911,0.252751,0.947836,1.72465
19.1,-0.336227,0.313801,1.03621,1.61905,-0.262698,0.406302,1.31644,1.34636
19.2,-0.215595,0.455633,1.35777,1.19614,-0.118862,0.515981,1.56027,0.847235
19.3,-0.0690664,0.549575,1.54846,0.670223,0.0414484,0.572463,1.64594,0.2824
19.4,0.0888021,0.588056,1.5817,0.0958479,0.201715,0.57186,1.55939,-0.294456
19.5,0.241736,0.568874,1.45038,-0.474618,0.345138,0.515495,1.30907,-0.832856
19.6,0.373796,0.49492,1.16798,-0.991588,0.456715,0.409621,0.922477,-1.28462
19.7,0.471252,0.373933,0.764153,-1.40772,0.524775,0.265143,0.438732,-1.60494
19.8,0.523862,0.218187,0.278043,-1.68049,0.54183,0.0969842,-0.097635,-1.75823
19.9,0.525565,0.0436889,-0.246451,-1.77918,0.504993,-0.0772734,-0.639116,-1.72692
20,0.474849,-0.131436,-0.762295,-1.69332,0.416283,-0.23951,-1.13508,-1.51781
20.1,0.375055,-0.28923,-1.21962,-1.43678,0.282888,-0.373444,-1.53283,-1.16086
20.2,0.234566,-0.414225,-1.56817,-1.04439,0.117078,-0.466544,-1.78337,-0.701159
20.3,0.0665475,-0.495124,-1.76406,-0.563094,-0.0646613,-0.511065,-1.85141,-0.189245
20.4,-0.112172,-0.52555,-1.77941,-0.0431847,-0.243493,-0.504257,-1.72522,0.325406
20.5,-0.283106,-0.504093,-1.60972,0.466802,-0.400728,-0.448162,-1.41949,0.79648
20.6,-0.428547,-0.434045,-1.27443,0.92137,-0.520182,-0.349286,-0.969588,1.18104
